epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2886.53,0.72531,0.37917,1.02579,0.97854,0.98125,0.99073,0.77737,0.83909,0.34225,1.14319,0.000990365,0.000990365,0.000990365
43,2954.58,0.73308,0.38281,1.02883,0.98753,0.97004,0.99233,0.78243,0.8441,0.34466,1.13859,0.000973861,0.000973861,0.000973861
44,3022.93,0.72563,0.3729,1.02664,0.96645,0.98515,0.9923,0.78739,0.83369,0.33693,1.14835,0.000957358,0.000957358,0.000957358
45,3091.4,0.73066,0.38025,1.03328,0.98865,0.99244,0.99313,0.77741,0.84323,0.34143,1.16136,0.000940855,0.000940855,0.000940855
46,3159.17,0.71443,0.3709,1.02131,0.98324,0.98961,0.99206,0.77819,0.85992,0.34711,1.15691,0.000924352,0.000924352,0.000924352
47,3228.06,0.71412,0.36595,1.02799,0.97717,0.98237,0.99086,0.77911,0.85661,0.34285,1.14631,0.000907848,0.000907848,0.000907848
48,3296.55,0.70965,0.36478,1.02104,0.98687,0.9806,0.99123,0.79746,0.81317,0.3251,1.12901,0.000891345,0.000891345,0.000891345
49,3364.81,0.70769,0.36017,1.01716,0.98971,0.99171,0.99161,0.77499,0.90006,0.33621,1.18834,0.000874842,0.000874842,0.000874842
50,3433.65,0.70466,0.35996,1.00924,0.98648,0.98334,0.99231,0.78834,0.88412,0.34124,1.17353,0.000858338,0.000858338,0.000858338
51,3503.02,0.70792,0.3655,1.02331,0.98403,0.97278,0.99235,0.77853,0.89451,0.36577,1.17386,0.000841835,0.000841835,0.000841835
52,3571.44,0.70996,0.36523,1.01047,0.97827,0.97295,0.99079,0.77996,0.87204,0.35883,1.16882,0.000825332,0.000825332,0.000825332
53,3639.74,0.69823,0.36066,1.02093,0.9856,0.9868,0.9931,0.78931,0.8475,0.32598,1.16398,0.000808828,0.000808828,0.000808828
54,3708.01,0.69571,0.34643,1.00906,0.987,0.98897,0.99288,0.7932,0.85006,0.31865,1.15238,0.000792325,0.000792325,0.000792325
55,3776.18,0.68706,0.35413,1.01135,0.99127,0.98969,0.99282,0.78997,0.85944,0.33044,1.14946,0.000775822,0.000775822,0.000775822
56,3844.4,0.68206,0.34651,1.00868,0.98324,0.9876,0.9929,0.78634,0.86441,0.33382,1.15412,0.000759318,0.000759318,0.000759318
57,3913.53,0.68458,0.34881,1.00633,0.99155,0.98702,0.99238,0.79015,0.85531,0.34432,1.15391,0.000742815,0.000742815,0.000742815
58,3982.25,0.67868,0.34395,0.99898,0.98651,0.99071,0.99351,0.79476,0.84216,0.33092,1.14671,0.000726312,0.000726312,0.000726312
59,4050.43,0.68217,0.34147,1.00484,0.98763,0.98887,0.99352,0.78956,0.85663,0.32048,1.14671,0.000709809,0.000709809,0.000709809
60,4118.61,0.67434,0.33892,1.00008,0.98531,0.98023,0.99076,0.79474,0.85036,0.33233,1.1469,0.000693305,0.000693305,0.000693305
61,4186.9,0.67675,0.34556,1.0077,0.98689,0.97879,0.99112,0.79424,0.83015,0.32331,1.1374,0.000676802,0.000676802,0.000676802
62,4255.36,0.67086,0.3429,0.99855,0.98004,0.98486,0.99028,0.78367,0.84898,0.32741,1.14606,0.000660299,0.000660299,0.000660299
63,4324.19,0.66929,0.34028,0.99434,0.9931,0.98075,0.99418,0.80012,0.84777,0.31696,1.15543,0.000643795,0.000643795,0.000643795
64,4392.76,0.66045,0.33237,0.99533,0.98573,0.98094,0.99261,0.79598,0.8497,0.33327,1.15266,0.000627292,0.000627292,0.000627292
65,4461.2,0.67401,0.34138,1.00791,0.98906,0.99286,0.99472,0.79789,0.85832,0.33082,1.15714,0.000610789,0.000610789,0.000610789
